numero catégorie,categorie,catégorie faisable en même temps que la précédente (donc afficher côte à côte),numero quête,quête faisable en même temps que la précédente (donc afficher côte à côte),difficulté (1 à 5),Label,Conseils / description détaillée
0,Vanilla Start,non,0,non,1,Créer une table de craft,
0,Vanilla Start,non,1,non,1,"Créer hache, pioche et pelle en bois",
0,Vanilla Start,non,2,non,1,"Créer hache, pioche et pelle en pierre",
0,Vanilla Start,non,3,non,1,Créer un four,
0,Vanilla Start,non,4,non,2,Créer un lit et dormir,
0,Vanilla Start,non,5,non,1,Créer 5 torches,
0,Vanilla Start,non,6,non,2,Construire une base pour se mettre à l'abri des monstres,
0,Vanilla Start,non,7,non,1,Créer une porte et des plaques de pression pour la base,
0,Vanilla Start,non,8,non,1,Construire au moins 3 coffres dans sa nouvelle base,
0,Vanilla Start,non,9,non,1,"Faire des panneaux pour ""étiqueter"" les coffres",
0,Vanilla Start,non,10,non,2,Récupérer 64 bois,
0,Vanilla Start,non,11,non,1,Fabriquer au moins 32 charbons de bois,
0,Vanilla Start,non,12,non,3,"Couper de l'herbe au sol pour récupérer des graines, faire une houe, travailler la terre près de l'eau et planter les graines",
0,Vanilla Start,non,13,non,3,Construire un accès à la couche 16 (couche avec le + de fer),
0,Vanilla Start,non,14,non,2,Faire une pioche en fer,
0,Vanilla Start,non,15,non,2,Fabriquer un seau et récupérer de l'eau,
0,Vanilla Start,non,16,non,2,Créer un enclot avec des vaches,
0,Vanilla Start,non,17,non,2,Créer un enclot à moutons,
0,Vanilla Start,non,18,non,1,Cuisiner du pain,
0,Vanilla Start,non,19,non,1,Planter de la canne à sucre près de l'eau,Ca servira pour plus tard
1,Minage,non,100,non,1,Miner au moins 64 cuivres,
1,Minage,non,101,oui,1,Miner au moins 16 étains,
1,Minage,non,102,oui,2,Miner au moins 32 fer,
1,Minage,non,103,non,3,Construire un accès à la couche -54 (couche avec le + de diamants),
1,Minage,non,104,oui,3,Fabriquer une pioche en diamant,
1,Minage,non,105,oui,3,Fabriquer un équipement complet en fer,
2,"Tinker : fabriquer ses propres outils, et miner 9x plus vite",oui,200,non,1,Fabriquer un Part Builder,
2,"Tinker : fabriquer ses propres outils, et miner 9x plus vite",oui,201,non,1,Fabriquer une Crafting Station,
2,"Tinker : fabriquer ses propres outils, et miner 9x plus vite",oui,202,oui,2,"Fabriquer une pioche personnalisée avec une tête en pierre, un lien en bois et un manche en pierre",
2,"Tinker : fabriquer ses propres outils, et miner 9x plus vite",oui,203,non,1,Fabriquer des kits de réparation en pierre,
2,"Tinker : fabriquer ses propres outils, et miner 9x plus vite",oui,204,non,1,Réparer sa pioche avec un kit de réparation,
2,"Tinker : fabriquer ses propres outils, et miner 9x plus vite",oui,205,non,3,Améliorer ta pioche en lui ajoutant 1 redstone (ou 1 diamant si tu en as déjà plusieurs),
2,"Tinker : fabriquer ses propres outils, et miner 9x plus vite",oui,206,non,3,Récupérer au moins 64 d'argile,
2,"Tinker : fabriquer ses propres outils, et miner 9x plus vite",oui,207,oui,3,Récupérer au moins 64 sables,
2,"Tinker : fabriquer ses propres outils, et miner 9x plus vite",oui,208,oui,3,Récupérer au moins 64 graviers,
2,"Tinker : fabriquer ses propres outils, et miner 9x plus vite",oui,209,non,1,Fabriquer du grout,
2,"Tinker : fabriquer ses propres outils, et miner 9x plus vite",oui,210,non,2,"Fabriquer un Seared Faucet, un Seared Casting Table, un Seared Heater et un Seared Melter",
2,"Tinker : fabriquer ses propres outils, et miner 9x plus vite",oui,211,non,3,"Les assembler, et mettre du charbon dans le Seared Heater",Le Seared Heater doit être sous le Seared Smelter. Le Seared Faucet doit être connecté au trou du Seared Melter. La casting Table doit être sous le Seared Faucet.
2,"Tinker : fabriquer ses propres outils, et miner 9x plus vite",oui,212,non,1,Faire fondre du cuivre,Dans le Seared Smelter
2,"Tinker : fabriquer ses propres outils, et miner 9x plus vite",oui,213,non,3,"Fabriquer un moule en sable, le placer dans la casting table, puis ajouter une pièce en pierre et la retirer pour laisser l'emprunte",Clic droit sur le Faucet
2,"Tinker : fabriquer ses propres outils, et miner 9x plus vite",oui,214,non,1,Faire couler le métal dans le moule ainsi créé,
2,"Tinker : fabriquer ses propres outils, et miner 9x plus vite",oui,215,non,2,"Fabriquer une pioche avec une tête en pierre, un lien en cuivre et un manche en cuivre",
2,"Tinker : fabriquer ses propres outils, et miner 9x plus vite",oui,216,oui,3,Améliorer cette pioche avec un diamant,
2,"Tinker : fabriquer ses propres outils, et miner 9x plus vite",oui,217,oui,3,Améliorer cette pioche avec de la redstone,
3,Tinker : créer des alliages de métaux encore meilleurs,non,300,non,2,Fabriquer un Coal Generator,
3,Tinker : créer des alliages de métaux encore meilleurs,non,301,non,2,"Fabriquer un Redstone Furnace, le placer collé au Coal Generator",
3,Tinker : créer des alliages de métaux encore meilleurs,non,302,non,1,"Placer un coffre au dessus du redstone furnace, et un à sa droite (ou gauche)",
3,Tinker : créer des alliages de métaux encore meilleurs,non,303,non,2,"Faire en sorte que le redstone furnace prenne les objets dans un coffre, et recrache ce qu'il a fait dans l'autre coffre",
3,Tinker : créer des alliages de métaux encore meilleurs,non,304,non,3,Faire la même chose que tout ça avec un pulverizer,
3,Tinker : créer des alliages de métaux encore meilleurs,non,305,non,2,Pulvériser du minerai cuivre et du minerai d'étain,
3,Tinker : créer des alliages de métaux encore meilleurs,non,306,non,1,Fabriquer de la poussière de bronze avec 3 cuivres et un étain,
3,Tinker : créer des alliages de métaux encore meilleurs,non,307,non,1,Fabriquer 27 bronzes,
3,Tinker : créer des alliages de métaux encore meilleurs,non,308,non,2,Fabriquer une Anvil avec 3 bronzes et 5 Seared Bricks,
3,Tinker : créer des alliages de métaux encore meilleurs,non,309,non,2,Fabriquer un Hammer avec du bronze,
3,Tinker : créer des alliages de métaux encore meilleurs,non,310,non,2,Fabriquer un Excavator,
3,Tinker : créer des alliages de métaux encore meilleurs,non,311,non,2,Fabriquer une Broad Axe,
